%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:10
%
% For Matlab use: 
Input=dlmread('08 3 s1000 cavitation50.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0098437500	-0.8176613000	-0.6346593000	-0.1392725000	0.6366159000	0.1561836771
0.0100000000	-0.5301950000	-1.0818585000	0.7231642000	-0.4174701000	0.1793372904
0.0101562500	0.4919074000	0.2916819000	1.4258904000	0.0936019000	0.0503236882
0.0103125000	-1.1370683000	-0.2513457000	-0.2031567000	0.7963259000	0.0574157860
0.0104687500	0.7474330000	0.1319679000	1.9050219000	-0.2897021000	0.0524617471
0.0106250000	-2.4785777000	0.8666523000	-0.2989830000	0.9560359000	0.0690968882
0.0107812500	-1.2967718000	0.1639107000	2.6396902000	-0.0980501000	0.1403829004
0.0109375000	-0.6898985000	-0.4749453000	0.0523801000	0.0936019000	-0.0555884485
0.0110937500	-2.0314079000	-0.1235745000	1.9050219000	-1.0563101000	0.0370781526
0.0112500000	-0.9773648000	-0.3791169000	-1.0655934000	-0.9285421000	0.2423318060
0.0114062500	0.3641446000	-0.3471741000	-0.3628672000	-1.2160201000	0.3382837171
0.0115625000	-0.2107880000	-3.2859117000	0.4356853000	-0.0661081000	0.1937300771
0.0117187500	1.6098319000	-0.8902017000	-0.4267514000	0.2213699000	-0.0741009096
0.0118750000	0.9710179000	-1.6248861000	-0.3948093000	-0.6730061000	-0.0775426629
0.0120312500	1.0348993000	1.1541375000	0.0843222000	1.2435139000	0.0921462060
0.0121875000	0.9710179000	1.2819087000	-0.0434462000	-0.0980501000	0.1664567893
0.0123437500	1.2904249000	0.7388811000	0.1162643000	0.1255439000	0.0599188793
0.0125000000	0.2363818000	-0.4749453000	1.1384115000	-0.1619341000	0.0310290104
0.0126562500	0.0766783000	0.6749955000	-0.6822882000	0.7963259000	0.1150912282
0.0128125000	1.7695354000	-1.7846001000	-0.9058829000	-0.7049481000	0.0009918904
0.0129687500	-1.5842381000	0.0680823000	0.8189905000	1.4032239000	-0.0419257307
0.0131250000	2.5999936000	2.0485359000	1.2342378000	2.0420639000	0.0364523793
0.0132812500	-2.4146963000	-0.2194029000	0.0523801000	1.1157459000	-0.0507387051
0.0134375000	1.4181877000	3.0387627000	0.4995695000	1.2435139000	0.0238847649
0.0135937500	-3.3729173000	-1.2096297000	-0.0115041000	-0.7049481000	0.0112128549
0.0137500000	1.2265435000	-0.0916317000	-0.9058829000	1.7226439000	0.0308204193
0.0139062500	-0.6260171000	-2.2956849000	0.4356853000	0.0297179000	-0.1111779796
0.0140625000	-1.2967718000	0.1639107000	0.7870484000	-1.6632081000	-0.1341230018
0.0142187500	1.8972982000	-2.1998565000	-1.6405512000	1.5948759000	-0.0536589807
0.0143750000	-0.1788473000	0.6749955000	0.0204380000	-1.1840781000	-0.0078732318
0.0145312500	1.5778912000	0.0361395000	-1.3850144000	0.2213699000	-0.0711284862
0.0146875000	0.0127969000	0.1639107000	-0.1073304000	0.6046739000	-0.1150890629
0.0148437500	2.4083494000	0.1639107000	0.1801485000	-1.0563101000	0.1725580793
0.0150000000	-0.1788473000	0.5791671000	0.5953958000	1.2115719000	0.1880981171
0.0151562500	-0.0191438000	-1.5610005000	-1.0017092000	-2.3339901000	-0.0440637896
0.0153125000	0.3960853000	-3.0942549000	-1.2572460000	-0.3535861000	-0.0195543340
0.0154687500	0.9071365000	2.8151631000	1.4578325000	-0.0022241000	0.0545998060
0.0156250000	1.2584842000	0.1958535000	0.8828747000	1.7865279000	0.0228939571
0.0157812500	-0.1469066000	1.4416227000	-0.1392725000	1.1476879000	-0.0074560496
0.0159375000	0.5238481000	-1.0818585000	-0.7781145000	1.6268179000	0.1179072082
0.0160937500	-1.6800602000	1.3777371000	-1.8322038000	0.3491379000	0.1235391682
0.0162500000	1.5140098000	-1.8165429000	0.2440327000	3.7349899000	0.1470056682
0.0164062500	-3.0215696000	-0.1555173000	-1.1933618000	-0.5132961000	0.1095635638
0.0165625000	2.7277564000	0.3236247000	0.4995695000	1.8823539000	-0.1054938718
0.0167187500	-2.9896289000	0.5152815000	0.0204380000	-0.0341661000	-0.1485679362
0.0168750000	2.8555192000	1.3777371000	0.1162643000	-1.6632081000	-0.1397028140
0.0170312500	-1.3925939000	0.0361395000	1.0745273000	1.4032239000	-0.0412999574
0.0171875000	1.4501284000	1.4096799000	1.2342378000	-1.6312661000	-0.0562142218
0.0173437500	-2.2230521000	-1.9123713000	0.4995695000	-1.4076721000	-0.0471405085
0.0175000000	0.0447376000	1.3138515000	1.0425852000	-0.4174701000	-0.0359808840
0.0176562500	-1.2967718000	-2.6470557000	0.7231642000	-1.0563101000	0.0007832993
0.0178125000	0.3002632000	1.0902519000	0.6592800000	-0.8007741000	-0.1608226640
0.0179687500	-1.9355858000	-0.5388309000	1.2342378000	-0.8327161000	-0.2609463974
0.0181250000	0.0447376000	1.9207647000	-0.2670409000	-3.4839021000	-0.1052852807
0.0182812500	0.1405597000	-0.9540873000	1.4258904000	0.3171959000	0.1612941593
0.0184375000	-2.2869335000	1.1860803000	0.8509326000	-0.6091221000	0.1005419982
0.0185937500	0.3322039000	-0.7943733000	-0.3948093000	-1.0882521000	-0.0455760751
0.0187500000	0.1725004000	-2.1679137000	0.5953958000	1.6587599000	0.0208601938
0.0189062500	-0.4024322000	-1.2096297000	-0.0434462000	0.2852539000	-0.0006246907
0.0190625000	-0.6579578000	0.6749955000	-0.1073304000	1.5948759000	-0.0798371651
0.0192187500	0.7793737000	0.5791671000	-0.2350988000	1.1796299000	-0.1138375162
0.0193750000	-0.0191438000	0.0680823000	-0.8419987000	-0.6091221000	-0.0227874962
0.0195312500	0.8113144000	2.5596207000	0.4995695000	2.4892519000	0.1926871215
0.0196875000	0.4599667000	-1.7526573000	-1.2891881000	-1.4396141000	0.2030645293
0.0198437500	-0.1149659000	-1.7207145000	2.2563850000	1.6907019000	0.0190350215
0.0200000000	2.1528238000	-0.3152313000	-0.3948093000	0.9240939000	0.0201822726
0.0201562500	-0.2746694000	0.8027667000	2.1605587000	-0.2897021000	0.1580609971
0.0203125000	-0.0830252000	0.2916819000	1.3620062000	1.7545859000	0.2296077482
0.0204687500	0.0766783000	0.9624807000	0.5634537000	-1.4715561000	0.1454933826
0.0206250000	-0.7218392000	-0.1235745000	-0.3309251000	-0.5771801000	0.0855234382
0.0207812500	-0.2746694000	0.8985951000	1.3300641000	0.0297179000	0.1838741471
0.0209375000	-0.3704915000	-1.6887717000	-0.7781145000	-1.9826281000	0.1752176160
0.0210937500	0.4919074000	0.0680823000	-1.0975355000	-0.8327161000	0.2254359260
0.0212500000	-0.9134834000	1.4735655000	-0.7781145000	0.2213699000	0.1048181160
0.0214062500	0.4919074000	-0.2832885000	-0.2989830000	-2.1103961000	-0.0369195440
0.0215625000	-0.4982543000	0.8985951000	-0.9058829000	1.3393399000	-0.0009897251
0.0217187500	0.6196702000	-0.8902017000	-0.2670409000	-0.3216441000	-0.1555557385
0.0218750000	-0.8496020000	-1.0499157000	-1.2572460000	0.6685579000	-0.2332037796
0.0220312500	1.1946028000	0.1000251000	0.9148168000	0.8602099000	-0.1330800462
0.0221875000	-0.0191438000	1.7929935000	-0.6822882000	0.2533119000	0.1340730193
0.0223437500	1.2265435000	-1.6887717000	1.2342378000	0.8921519000	0.1003855549
0.0225000000	1.3862470000	0.5791671000	-1.3211302000	2.2017739000	-0.1660895896
0.0226562500	0.9071365000	0.7388811000	-0.7781145000	0.6046739000	-0.0937084740
0.0228125000	1.8653575000	-1.0179729000	-1.4808407000	2.3614839000	0.1990491504
0.0229687500	-0.7857206000	-2.1679137000	-0.5545198000	0.4769059000	0.0840111526
0.0231250000	2.1208831000	0.3236247000	0.2759748000	3.3836279000	-0.0396312285
0.0232812500	-1.5522974000	1.4735655000	-0.3948093000	0.0297179000	0.0417193049
0.0234375000	0.2683225000	-0.2194029000	-1.7044354000	-0.2577601000	0.2812861960
0.0235937500	-2.1591707000	-0.6666021000	-1.7683196000	-0.1619341000	0.1575395193
0.0237500000	0.1405597000	0.2277963000	-0.4906356000	-1.4396141000	-0.1059110540
0.0239062500	-0.8815427000	-0.8902017000	-0.7461724000	-1.8868021000	-0.0770733329
0.0240625000	0.3960853000	-1.0818585000	-2.8862931000	0.3171959000	0.1305269704
0.0242187500	0.5877295000	0.9944235000	-1.4808407000	-2.0465121000	0.0160104504
0.0243750000	-1.0731869000	1.2499659000	-0.4586935000	-0.6091221000	-0.2260595340
0.0245312500	0.9710179000	0.2597391000	-1.1294776000	0.1894279000	-0.1866358140
0.0246875000	-0.9773648000	0.1639107000	0.3718011000	-1.1521361000	-0.1507059951
0.0248437500	0.2683225000	1.2819087000	-0.0434462000	-0.3216441000	-0.1624392451
0.0250000000	-0.4024322000	-2.6470557000	-0.9058829000	0.7004999000	-0.1377211985
0.0251562500	0.6835516000	-0.2194029000	-0.8100566000	-0.2258181000	-0.0660180040
0.0253125000	0.7793737000	-0.6985449000	2.3841534000	1.6587599000	0.0539740326
0.0254687500	-0.4663136000	0.7388811000	-1.4169565000	0.6685579000	0.1901840282
0.0256250000	1.0348993000	0.6430527000	-0.7781145000	0.3810799000	0.0443266938
0.0257812500	-1.0093055000	1.1860803000	-1.8322038000	1.8184699000	-0.0687296885
0.0259375000	0.3960853000	-0.7304877000	-0.1392725000	0.5407899000	-0.1151412107
0.0260937500	-1.2009497000	-1.7526573000	-1.9280301000	1.6587599000	-0.0021369762
0.0262500000	-0.3066101000	-0.0277461000	0.0204380000	0.7643839000	-0.0123579407
0.0264062500	0.1086190000	-0.5068881000	-0.0434462000	-0.0661081000	-0.0482877596
0.0265625000	-0.8176613000	-0.3471741000	-1.1933618000	1.2435139000	0.1821011226
0.0267187500	0.6516109000	0.5472243000	0.5634537000	-1.1201941000	0.1947730326
0.0268750000	-0.1469066000	1.5693939000	1.1064694000	0.5407899000	0.1745396949
0.0270312500	-0.1149659000	-0.3791169000	1.1064694000	-0.5771801000	0.1071126182
0.0271875000	-0.2107880000	-0.7943733000	1.1064694000	-0.2258181000	0.0078232493
0.0273437500	-1.0412462000	1.7610507000	0.1801485000	-1.7909761000	-0.0545976407
0.0275000000	0.7474330000	0.4833387000	0.4676274000	-1.4076721000	-0.1329757507
0.0276562500	-1.9675265000	0.8985951000	2.0327903000	-0.7049481000	-0.1314634651
0.0278125000	1.3543063000	0.9305379000	0.4676274000	-1.0563101000	-0.1017913796
0.0279687500	-1.0093055000	1.4416227000	1.9369640000	-1.4396141000	-0.1023128574
0.0281250000	0.9071365000	-1.7526573000	0.5953958000	0.8602099000	-0.0233089740
0.0282812500	-0.4663136000	0.2277963000	-0.2031567000	0.1574859000	0.0552777271
0.0284375000	0.2683225000	-1.2096297000	0.4676274000	0.4449639000	0.2229328326
0.0285937500	-0.4663136000	-0.1235745000	0.0843222000	0.6685579000	0.1770949360
0.0287500000	-0.3704915000	-1.8804285000	-0.6184040000	-0.4174701000	0.0750938826
0.0289062500	-0.3704915000	2.5915635000	-1.0336513000	1.1157459000	0.0731644149
0.0290625000	-0.4982543000	-0.4430025000	0.0843222000	0.1255439000	0.1525333326
0.0292187500	0.6196702000	0.6749955000	1.3300641000	1.3073979000	0.2237150493
0.0293750000	-0.0510845000	-2.8067697000	0.3079169000	0.3171959000	0.2251751871
0.0295312500	1.0348993000	-0.2194029000	2.0966745000	2.7128459000	0.3276977182
0.0296875000	1.2904249000	-2.4873417000	1.6175430000	1.3073979000	0.1631714793
0.0298437500	0.1086190000	0.7388811000	0.7231642000	0.3810799000	0.0799436260
0.0300000000	-0.7218392000	-0.7624305000	2.3522113000	-1.0882521000	0.0448481715
0.0301562500	-0.3385508000	0.0680823000	1.5536588000	-0.5452381000	-0.0069345718
0.0303125000	-1.4564753000	0.5472243000	1.3939483000	-0.3855281000	0.0719650160
0.0304687500	-0.4024322000	-0.8902017000	-0.3309251000	-2.0145701000	0.0771797938
0.0306250000	-0.3066101000	-2.7428841000	-0.2031567000	-0.8966001000	0.1095114160
0.0307812500	0.8751958000	-2.1679137000	1.1384115000	-0.7688321000	0.0518881215
0.0309375000	1.0029586000	-0.0277461000	-0.7461724000	0.5088479000	0.0836982660
0.0310937500	-0.8176613000	-0.1555173000	-0.1392725000	-1.8868021000	0.1341251671
0.0312500000	-0.1788473000	1.5055083000	-0.0753883000	-0.0661081000	-0.0295667074
0.0314062500	-0.1469066000	-1.1138013000	-0.5545198000	-1.0243681000	-0.1353224007
0.0315625000	-1.2009497000	1.4735655000	0.5953958000	-0.8966001000	0.1219747349
0.0317187500	-0.3704915000	-2.1359709000	0.8509326000	1.0518619000	0.1186894249
0.0318750000	-0.5301950000	-2.0720853000	-0.7142303000	-0.5452381000	-0.1508624385
0.0320312500	0.3322039000	-1.0499157000	-0.0115041000	0.3171959000	-0.1511231774
0.0321875000	0.0127969000	0.2277963000	-0.4906356000	0.2852539000	-0.0203886985
0.0323437500	0.3960853000	0.7708239000	-0.9058829000	0.4769059000	0.1202538582
0.0325000000	2.2805866000	3.1345911000	1.2022957000	3.9266419000	0.2137548238
0.0326562500	-0.8176613000	2.0485359000	-0.0434462000	0.2852539000	0.1688555871
0.0328125000	0.4599667000	-1.0818585000	-1.4169565000	-0.7049481000	0.0279522915
0.0329687500	-1.8717044000	-1.5929433000	-0.6503461000	0.9879779000	0.0426058171
0.0331250000	1.0668400000	1.1221947000	-0.0753883000	0.2533119000	-0.0502693751
0.0332812500	-0.9773648000	0.0361395000	-0.2989830000	0.8602099000	-0.1070583051
0.0334375000	1.7056540000	1.3138515000	-1.4808407000	0.1574859000	0.1111279971
0.0335937500	0.9071365000	0.5152815000	-0.3309251000	-0.3535861000	0.2785745115
0.0337500000	-0.2107880000	1.5693939000	-1.3850144000	0.8282679000	0.1725580793
0.0339062500	1.1946028000	0.1319679000	-1.9919143000	-0.8646581000	-0.0005203951
0.0340625000	-0.0510845000	0.9624807000	-0.7461724000	0.0936019000	0.0695662182
0.0342187500	-1.7439416000	0.2597391000	-0.4586935000	-0.4174701000	-0.0684168018
0.0343750000	-0.1788473000	-0.6346593000	-1.0975355000	-2.7172941000	-0.1611355507
0.0345312500	0.0127969000	1.1221947000	-0.5225777000	1.9781799000	-0.0245083729
0.0346875000	1.6417726000	0.6430527000	0.9148168000	-0.4174701000	-0.0068824240
0.0348437500	0.2363818000	0.0680823000	-0.7781145000	0.6366159000	-0.0870857062
0.0350000000	1.3862470000	1.4416227000	0.6592800000	1.9462379000	0.0777012715
0.0351562500	3.0152227000	0.8347095000	1.0745273000	0.8921519000	0.1026279093
0.0353125000	0.7474330000	0.9624807000	-0.5225777000	2.0420639000	-0.0642971274
0.0354687500	1.1626621000	-1.5290577000	-1.5766670000	2.1059479000	-0.0926655185
0.0356250000	-0.1149659000	-0.4430025000	-0.2031567000	-0.0341661000	-0.0400484107
0.0357812500	0.7474330000	1.2499659000	-1.9280301000	2.5850779000	0.1688034393
0.0359375000	0.4919074000	2.3679639000	-1.5447249000	0.9560359000	0.3009980560
0.0360937500	0.4919074000	0.0041967000	-1.0975355000	0.2213699000	0.2209512171
0.0362500000	0.6516109000	3.3581907000	-1.0975355000	1.6587599000	-0.0389011596
0.0364062500	-0.0830252000	0.6111099000	-0.8100566000	0.5407899000	-0.1622306540
0.0365625000	0.2044411000	-2.1040281000	0.8828747000	0.2213699000	-0.1149326196
0.0367187500	0.5877295000	-0.1555173000	0.0523801000	0.1255439000	0.0547041015
0.0368750000	-0.5301950000	0.5472243000	1.3300641000	0.4449639000	-0.0408827751
0.0370312500	-0.4663136000	-1.4651721000	-0.2989830000	-0.2897021000	-0.0307139585
0.0371875000	-0.4663136000	1.4096799000	1.4578325000	-0.3216441000	-0.1523225762
0.0373437500	-0.2746694000	0.1000251000	-0.3309251000	0.0297179000	-0.1258315051
0.0375000000	0.8113144000	-0.3152313000	0.7231642000	0.1894279000	0.0097005693
0.0376562500	0.9071365000	1.0583091000	0.9787010000	0.5407899000	0.1315699260
0.0378125000	0.7474330000	0.7069383000	-0.8419987000	-2.0145701000	0.1910705404
0.0379687500	-0.3385508000	-1.6248861000	-0.1712146000	0.4449639000	0.1610334204
0.0381250000	1.0987807000	-0.9221445000	0.2759748000	-0.5132961000	0.0437009204
0.0382812500	-1.3287125000	2.0804787000	-0.6184040000	0.3491379000	0.0622655293
0.0384375000	1.0029586000	-1.4012865000	1.1384115000	1.1796299000	-0.0989753996
0.0385937500	-2.2230521000	-0.0277461000	0.1162643000	-0.3535861000	-0.2144305796
0.0387500000	-0.1788473000	1.3138515000	-0.5225777000	0.9879779000	-0.0619504774
0.0389062500	-1.2967718000	0.0361395000	0.1801485000	1.1157459000	-0.0603860440
0.0390625000	-0.0191438000	-0.9860301000	0.1482064000	-1.2799041000	-0.0292016729
0.0392187500	0.4919074000	-0.3791169000	2.1286166000	3.1280919000	0.0838025615
0.0393750000	-0.7537799000	0.2916819000	-0.2670409000	-2.1423381000	0.3789589838
0.0395312500	0.8432551000	-0.9540873000	0.9148168000	0.6046739000	0.4291772938
0.0396875000	-1.6481195000	2.3040783000	0.0843222000	-0.0661081000	0.2264267338
0.0398437500	-0.3066101000	1.0263663000	1.5536588000	-0.7049481000	-0.1074754874
0.0400000000	-2.0633486000	0.7708239000	1.2022957000	0.3810799000	-0.0954814985
0.0401562500	-0.2107880000	-0.6985449000	0.5953958000	-1.1201941000	0.0439095115
0.0403125000	-0.5301950000	-3.1261977000	-1.0655934000	0.2533119000	0.0860449160
0.0404687500	1.2904249000	0.0680823000	1.1064694000	0.7643839000	0.1304226749
0.0406250000	-0.2746694000	0.1639107000	0.0523801000	-0.2577601000	0.1386620238
0.0407812500	1.5140098000	1.1860803000	-0.6503461000	-0.0022241000	0.1888803338
0.0409375000	-0.6898985000	0.4513959000	0.3718011000	-0.2577601000	0.1081555738
0.0410937500	-0.7857206000	1.4735655000	-1.3850144000	-1.2799041000	-0.0732143974
0.0412500000	-0.1149659000	-1.1138013000	-0.6184040000	-0.5132961000	0.0688882971
0.0414062500	-1.8397637000	1.4096799000	-1.4169565000	-2.2381641000	0.0238847649
0.0415625000	0.2683225000	-0.0916317000	1.2981220000	3.2878019000	-0.0899016862
0.0417187500	-0.4663136000	-0.2832885000	-1.6724933000	-0.8007741000	-0.0578829507
0.0418750000	-0.0191438000	-1.8484857000	-0.4586935000	0.9560359000	-0.1026778918
0.0420312500	0.6516109000	0.8027667000	0.7231642000	1.0518619000	-0.0907360507
0.0421875000	0.7154923000	0.4513959000	-1.0655934000	-0.9285421000	-0.0787942096
0.0423437500	0.3960853000	-1.2735153000	0.4356853000	0.9240939000	0.0789006704
0.0425000000	0.3960853000	1.0583091000	-0.7142303000	-1.3437881000	0.0989775649
