%
% Convert TDMS to ASCII v1.2 
% File created on 10-4-2026 16:22:06
%
% For Matlab use: 
Input=dlmread('01 1 s700 healthy.dat','\t',[8 0 32817 5])

Time     	ch 0     	ch 1     	ch 2     	ch 3     	ch 4     	
0.0121875000	-0.1788473000	-0.2194029000	-1.2253039000	0.0297179000	0.0914161371
0.0123437500	-0.2746694000	0.7069383000	1.0106431000	0.4449639000	0.0903210338
0.0125000000	-0.2427287000	0.4194531000	-1.3530723000	0.0297179000	0.0882872704
0.0126562500	-0.1469066000	0.0041967000	0.3079169000	0.0616599000	0.0719650160
0.0128125000	-0.4024322000	0.2916819000	-0.5545198000	0.0936019000	0.0654465438
0.0129687500	-0.1469066000	0.7388811000	0.2120906000	-0.0661081000	0.0272743704
0.0131250000	-0.2107880000	0.3236247000	-0.0434462000	0.0297179000	0.0059459293
0.0132812500	-0.2746694000	0.2916819000	-0.0115041000	-0.1619341000	0.0144981649
0.0134375000	-0.0510845000	0.2916819000	0.2120906000	-0.0980501000	0.0433880338
0.0135937500	-0.3066101000	0.0361395000	-0.3628672000	-0.3216441000	0.0238847649
0.0137500000	-0.4024322000	0.5791671000	0.4676274000	0.0936019000	0.0347836504
0.0139062500	-0.6579578000	0.1639107000	-1.1933618000	-0.8327161000	0.0236761738
0.0140625000	-0.3385508000	1.3457943000	-0.1073304000	-0.1299921000	0.0211730804
0.0142187500	-0.5940764000	0.6749955000	-0.3628672000	-0.7688321000	0.0354615715
0.0143750000	1.0348993000	1.9527075000	1.3620062000	2.3614839000	0.0431794426
0.0145312500	0.3322039000	-0.5707737000	1.7133693000	-0.3855281000	0.0040686093
0.0146875000	0.5238481000	-0.0916317000	0.6592800000	2.0740059000	0.0209644893
0.0148437500	1.2584842000	-2.0081997000	0.2759748000	0.2533119000	0.0443266938
0.0150000000	0.2044411000	1.1541375000	1.0106431000	1.7226439000	0.0341057293
0.0151562500	1.5459505000	1.5374511000	1.2661799000	1.1476879000	-0.0077689362
0.0153125000	-1.4245346000	0.1319679000	-2.2474511000	-1.6632081000	0.0016176638
0.0154687500	-0.8176613000	-0.1555173000	1.0106431000	-1.3118461000	0.0119950715
0.0156250000	1.1946028000	2.0804787000	-0.2989830000	0.6046739000	0.0096484215
0.0157812500	-0.9454241000	-0.6346593000	-0.6184040000	-0.0980501000	0.0161147460
0.0159375000	1.0987807000	-0.0596889000	3.1507638000	-0.1619341000	0.0116821849
0.0160937500	0.0447376000	1.2180231000	-0.9378250000	1.5629339000	0.0394248026
0.0162500000	0.4280260000	0.5152815000	1.7453114000	-0.9924261000	0.0655508393
0.0164062500	0.7474330000	0.0680823000	0.7870484000	1.8184699000	0.0150717904
0.0165625000	0.1725004000	-1.8484857000	-1.3850144000	-0.9285421000	-0.0231003829
0.0167187500	-0.0191438000	-0.0916317000	0.7870484000	1.6268179000	-0.0135573396
0.0168750000	0.3002632000	0.0361395000	0.7870484000	-0.3855281000	0.0183571004
0.0170312500	-0.4024322000	1.2499659000	0.0523801000	0.2213699000	0.0103784904
0.0171875000	0.1725004000	0.2597391000	1.6175430000	0.2852539000	0.0110042638
0.0173437500	0.0766783000	0.3875103000	0.5953958000	-0.7049481000	0.0830724926
0.0175000000	1.2904249000	-0.2194029000	0.2440327000	0.8921519000	0.0930327182
0.0176562500	-0.1149659000	-0.5707737000	1.7453114000	-0.6730061000	0.0466733438
0.0178125000	1.3223656000	1.0263663000	1.7772535000	3.1280919000	0.0284216215
0.0179687500	0.5877295000	0.8027667000	1.4578325000	-0.4813541000	0.0472991171
0.0181250000	-0.4982543000	0.8347095000	2.0647324000	3.3516859000	0.0672195682
0.0182812500	0.9710179000	-0.7304877000	1.8730798000	-0.4174701000	0.0698791049
0.0184375000	0.1725004000	-1.4971149000	1.9050219000	1.9462379000	0.0568421604
0.0185937500	-0.3385508000	-2.5192845000	0.6912221000	-0.5771801000	0.0725907893
0.0187500000	1.2265435000	-0.8902017000	2.3522113000	0.9240939000	0.1112322926
0.0189062500	0.6516109000	-0.1235745000	-0.1712146000	-0.4494121000	0.0969438015
0.0190625000	-0.7537799000	-0.2194029000	0.0523801000	-0.9604841000	0.0317069315
0.0192187500	0.2363818000	-0.4749453000	0.2759748000	-0.0980501000	0.0271700749
0.0193750000	-0.3066101000	-0.8902017000	0.4995695000	-0.4813541000	0.0874529060
0.0195312500	-0.6260171000	-1.7207145000	0.0523801000	-0.0980501000	0.0867228371
0.0196875000	-0.2746694000	-1.7846001000	0.4356853000	-1.1201941000	0.0949100382
0.0198437500	0.0127969000	-1.1138013000	0.4356853000	-0.0980501000	0.1214532571
0.0200000000	-0.4024322000	0.2597391000	-0.5225777000	-0.8327161000	0.1375147726
0.0201562500	-0.1149659000	-0.1555173000	1.2022957000	-0.1619341000	0.1085206082
0.0203125000	0.4280260000	-0.8263161000	0.5634537000	-0.3216441000	0.0554341704
0.0204687500	-0.5621357000	-1.0499157000	1.3620062000	-0.2897021000	0.0438573638
0.0206250000	0.6835516000	-1.8804285000	0.6592800000	0.8282679000	0.0537132938
0.0207812500	-0.2107880000	-1.1776869000	1.9369640000	-0.7049481000	0.0495936193
0.0209375000	-0.4024322000	0.0680823000	-1.7683196000	-0.5771801000	0.0244062426
0.0210937500	0.2683225000	-0.6985449000	3.3743585000	0.5407899000	0.0264400060
0.0212500000	-0.8496020000	0.5791671000	-2.0557985000	-2.1103961000	0.0597624360
0.0214062500	0.3322039000	0.9305379000	2.0008482000	0.7004999000	0.1076862438
0.0215625000	-0.2107880000	-1.0818585000	-1.1933618000	-1.0882521000	0.0694619226
0.0217187500	-0.4663136000	-0.9540873000	0.2440327000	-0.0022241000	0.0470905260
0.0218750000	0.0766783000	-2.6470557000	-1.1614197000	-0.8007741000	0.0766583160
0.0220312500	-2.1591707000	-1.9443141000	-0.9697671000	-0.7688321000	0.0269614838
0.0221875000	2.6958157000	1.4096799000	2.0008482000	2.0420639000	0.0590845149
0.0223437500	-2.0633486000	0.0041967000	-1.0017092000	0.3491379000	0.0780141582
0.0225000000	1.1307214000	-0.2513457000	-1.2253039000	-1.1521361000	0.0243019471
0.0226562500	-1.5203567000	-0.5388309000	-0.2350988000	0.3491379000	0.0669588293
0.0228125000	0.8751958000	-0.9540873000	-1.0336513000	-0.6730061000	0.0186699871
0.0229687500	-0.4663136000	-1.4971149000	-0.0753883000	-0.0661081000	0.0540261804
0.0231250000	-0.1149659000	-0.6985449000	-1.1614197000	-0.0661081000	0.0132987660
0.0232812500	0.5877295000	0.2916819000	-0.0115041000	-0.2897021000	0.0280044393
